Is_Head_of_Household_,Age,Race,Gender,Ethnicity,Disability,Educational_Level,Employment_Status,Household_Type,ZIP_Code,Service_Id,Date,Program,Housing_Type,City,State,Total_Benefit,Council_District,Monthly_Income,ObjectId
0,3,Mixed Race,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40210,1313861,2021/09/27 14:26:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,6,0,7360
1,43,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Parent Female,40203,1280612,2021/08/30 16:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,4,33600,7361
1,24,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Person,40214,1329224,2021/10/08 14:03:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,657.55,21,16800,7362
0,13,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40203,1280612,2021/08/30 16:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,4,33600,7363
1,53,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Parent Female,40216,1248477,2021/08/10 16:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,36694.44,7364
0,20,White,Male,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40216,1248477,2021/08/10 16:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,36694.44,7365
0,7,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40216,1248477,2021/08/10 16:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,36694.44,7366
0,25,White,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Parent Female,40216,1248477,2021/08/10 16:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,36694.44,7367
1,29,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Person,40219,1260565,2021/08/17 15:09:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,167.45,24,7992,7368
0,11,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40220,1213941,2021/07/23 15:24:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,247.94,26,0,7369
1,63,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Employed Full-Time,Single Person,40216,1248625,2021/08/11 08:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,597.57,3,31200,7370
1,26,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Person,40118,1254508,2021/08/13 11:10:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,79.77,13,0,7371
1,28,White,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Short - Term, 6 months or less)",Two Parent Household,40258,1251177,2021/08/12 08:49:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,1000,12,7299.6,7372
1,61,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Short - Term, 6 months or less)",Single Person,40212,1248978,2021/08/11 09:51:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,334.48,5,0,7373
0,28,White,Male,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Two Parent Household,40258,1251177,2021/08/12 08:49:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,1000,12,7299.6,7374
0,8,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40258,1251177,2021/08/12 08:49:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,1000,12,7299.6,7375
0,5,White,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Two Parent Household,40258,1251177,2021/08/12 08:49:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,1000,12,7299.6,7376
1,30,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Two Parent Household,40208,1249187,2021/08/11 10:24:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,0,0,7377
0,12,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40208,1249187,2021/08/11 10:24:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,0,0,7378
0,9,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40208,1249187,2021/08/11 10:24:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,0,0,7379
0,10,Others,Female,Unknown,Not Disabled,Unknown,Unemployed(Not in Labor Force),Single Person,40214,1272434,2021/08/24 16:18:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,188.54,25,0,7380
0,34,Mixed Race,Male,Hispanic,Disabled,Advanced/Post-Secondary Degree,"Unemployed(Long - Term, more than 6 months)",Single Person,40206,1238994,2021/08/05 10:36:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,876.83,4,34320,7381
1,36,Unknown,Male,Unknown,Not Disabled,2 or 4 years College,Employed Full-Time,Single Person,40220,1235265,2021/08/03 16:53:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,26,9596.52,7382
0,14,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40216,1474967,2022/01/10 14:33:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,12,0,7383
0,2,White,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Male,40206,1230695,2021/08/02 12:05:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,135.13,9,0,7384
0,4,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Person,40213,1242691,2021/08/06 14:41:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,340.1,21,0,7385
1,52,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Person,40215,1230776,2021/08/02 12:21:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,238.93,3,0,7386
1,30,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Person,40211,1239160,2021/08/05 13:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,1,0,7387
0,10,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40214,1239217,2021/08/05 11:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,582.12,25,0,7388
0,4,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40222,1231026,2021/08/02 13:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,7,0,7389
0,1,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Person,40213,1242691,2021/08/06 14:41:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,340.1,21,0,7390
0,18,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40214,1239217,2021/08/05 11:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,582.12,25,0,7391
0,10,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40220,1235265,2021/08/03 16:53:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,26,9596.52,7392
0,18,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40214,1239217,2021/08/05 11:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,582.12,25,0,7393
0,10,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40220,1235265,2021/08/03 16:53:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,26,9596.52,7394
1,59,Mixed Race,Male,Non-Hispanic,Disabled,2 or 4 years College,Retired,Single Person,40272,1239383,2021/08/05 11:33:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,257.18,14,17364,7395
1,54,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Single Person,40210,1236144,2021/08/04 10:41:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,178.52,6,96000,7396
0,54,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Person,40210,1236144,2021/08/04 10:41:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,178.52,6,96000,7397
1,40,White,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Person,40258,1350127,2021/10/21 11:20:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,593.53,1,0,7398
0,15,Mixed Race,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40258,1350127,2021/10/21 11:20:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,593.53,1,0,7399
1,25,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40203,1236247,2021/08/04 10:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,911.4,6,0,7400
1,60,White,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Person,40258,1302016,2021/09/16 15:17:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,1000,1,0,7401
1,32,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Parent Female,40299,1285407,2021/09/02 13:01:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,20,0,7402
0,8,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40299,1285407,2021/09/02 13:01:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,20,0,7403
0,1,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40299,1285407,2021/09/02 13:01:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,20,0,7404
0,2,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40211,1236483,2021/08/04 11:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,299.75,15,14400,7405
1,28,Mixed Race,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Two Adults No Children,40214,1233642,2021/08/03 11:38:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,978.38,25,10080,7406
1,45,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40210,1236662,2021/08/04 12:00:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,6,0,7407
0,1,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40212,1236744,2021/08/04 12:17:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,468,5,4819.2,7408
1,32,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Person,40272,1237068,2021/08/04 13:23:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,291.77,14,0,7409
0,14,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40272,1237068,2021/08/04 13:23:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,291.77,14,0,7410
0,8,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40272,1237068,2021/08/04 13:23:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,291.77,14,0,7411
0,6,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40272,1237068,2021/08/04 13:23:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,291.77,14,0,7412
1,45,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Person,40258,1237144,2021/08/04 13:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,665.64,14,1452,7413
0,17,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40258,1237144,2021/08/04 13:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,665.64,14,1452,7414
1,30,White,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Single Parent Female,40219,1240748,2021/08/05 16:21:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,346.26,21,32947.2,7415
1,30,African American,Male,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Part-Time,Single Person,40214,1242702,2021/08/06 14:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,348.68,0,12000,7416
0,16,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40222,1231026,2021/08/02 13:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,7,0,7417
0,11,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40203,1272477,2021/08/24 16:41:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,372.19,4,10200,7418
0,4,White,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40219,1240748,2021/08/05 16:21:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,346.26,21,32947.2,7419
0,11,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40203,1272477,2021/08/24 16:41:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,372.19,4,10200,7420
0,3,White,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40219,1240748,2021/08/05 16:21:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,346.26,21,32947.2,7421
1,28,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Other,40229,1412611,2021/11/19 14:24:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,766.86,13,0,7422
0,15,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Other,40229,1412611,2021/11/19 14:24:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,766.86,13,0,7423
0,10,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Other,40229,1412611,2021/11/19 14:24:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,766.86,13,0,7424
1,29,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Parent Female,40220,1237734,2021/08/04 15:09:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,26,1452,7425
0,7,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40220,1237734,2021/08/04 15:09:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,26,1452,7426
0,10,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40220,1237734,2021/08/04 15:09:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,26,1452,7427
1,65,Mixed Race,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Retired,Single Person,40218,1237716,2021/08/04 15:06:00+00,ARP-Utilities 21,Other Residence (does not own or pay rent),LOUISVILLE,KY,503.61,10,13200,7428
1,31,African American,Male,Non-Hispanic,Not Disabled,2 or 4 years College,Unemployed(Not in Labor Force),Single Person,40206,1237824,2021/08/04 15:22:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,9,0,7429
1,59,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Single Person,40299,1237794,2021/08/04 15:18:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,574.16,0,22704,7430
1,69,Unknown,Female,Non-Hispanic,Unknown,Unknown,Unknown,Single Person,40223,1237868,2021/08/04 15:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,363.13,17,19116,7431
0,34,White,Male,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Person,40299,1237894,2021/08/04 15:33:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,291.24,11,57840,7432
1,62,African American,Female,Non-Hispanic,Disabled,High School Graduate,Retired,Single Person,40220,1238110,2021/08/04 16:47:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,86.66,26,10776,7433
1,23,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Person,40216,1271049,2021/08/24 10:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,698.54,12,0,7434
1,19,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40218,1292349,2021/09/09 10:52:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,580.48,2,11784,7435
1,33,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40272,1238653,2021/08/05 09:45:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,520.43,14,0,7436
0,9,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40272,1238653,2021/08/05 09:45:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,520.43,14,0,7437
0,5,African American,Female,Non-Hispanic,Not Disabled,Early Head Start,Unemployed(Not in Labor Force),Single Person,40272,1238653,2021/08/05 09:45:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,520.43,14,0,7438
1,60,White,Male,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Male,40118,1240190,2021/08/05 14:29:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,393.4,13,3000,7439
0,14,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Male,40118,1240190,2021/08/05 14:29:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,393.4,13,3000,7440
0,4,Mixed Race,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40215,1298597,2021/09/14 14:40:00+00,ARP-Utilities 21,Rent/Non-Subsidized,Louisville,KY,555.31,3,0,7441
1,83,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,Retired,Single Person,40213,1240482,2021/08/05 15:13:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,846.48,21,14028,7442
1,48,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Person,40203,1242750,2021/08/06 14:52:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,6,95283.12,7443
0,22,White,Male,Non-Hispanic,Not Disabled,2 or 4 years College,"Unemployed(Short - Term, 6 months or less)",Single Person,40213,1240482,2021/08/05 15:13:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,846.48,21,14028,7444
1,66,African American,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Two Parent Household,40243,1232372,2021/08/03 08:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,202.29,17,33600,7445
1,31,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Person,40216,1334319,2021/10/13 09:57:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,200.46,12,0,7446
1,28,African American,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Short - Term, 6 months or less)",Single Person,40218,1240526,2021/08/05 15:23:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,700.59,26,18000,7447
0,63,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Two Parent Household,40243,1232372,2021/08/03 08:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,202.29,17,33600,7448
1,64,African American,Female,Non-Hispanic,Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Person,40212,1244475,2021/08/09 12:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,181.04,5,0,7449
0,30,White,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Single Person,40218,1240526,2021/08/05 15:23:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,700.59,26,18000,7450
0,24,African American,Male,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Part-Time,Two Parent Household,40243,1232372,2021/08/03 08:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,202.29,17,33600,7451
1,32,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Parent Female,40207,1243707,2021/08/09 10:03:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,398.21,26,35760,7452
1,43,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Person,40215,1240577,2021/08/05 15:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,601.66,15,24000,7453
1,27,Others,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Short - Term, 6 months or less)",Single Person,40291,1231354,2021/08/02 14:06:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,22,0,7454
1,32,White,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Person,40213,1243575,2021/08/09 16:19:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,10,0,7455
0,16,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40215,1240577,2021/08/05 15:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,601.66,15,24000,7456
1,39,African American,Female,Non-Hispanic,Disabled,Equivalency Diploma (GED),Unemployed(Not in Labor Force),Single Person,40210,1428042,2021/12/01 14:10:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,344.63,3,9528,7457
0,19,African American,Female,Non-Hispanic,Unknown,Unknown,Unknown,Single Person,40219,1243629,2021/08/09 09:53:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,537.59,24,23076,7458
0,18,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40215,1240577,2021/08/05 15:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,601.66,15,24000,7459
0,3,African American,Male,Non-Hispanic,Disabled,Head Start,Unemployed(Not in Labor Force),Single Person,40210,1428042,2021/12/01 14:10:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,344.63,3,9528,7460
0,11,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40207,1243707,2021/08/09 10:03:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,398.21,26,35760,7461
0,11,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40207,1243707,2021/08/09 10:03:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,398.21,26,35760,7462
0,4,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40207,1243707,2021/08/09 10:03:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,398.21,26,35760,7463
1,23,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40215,1332093,2021/10/12 10:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,257.77,15,0,7464
1,25,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Employed Full-Time,Single Parent Female,40207,1243743,2021/08/09 10:09:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,125.29,9,27300,7465
0,6,White,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40215,1332093,2021/10/12 10:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,257.77,15,0,7466
0,4,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40207,1243743,2021/08/09 10:09:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,125.29,9,27300,7467
0,1,White,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40215,1332093,2021/10/12 10:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,257.77,15,0,7468
1,33,White,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Person,40258,1244311,2021/08/09 11:34:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,263.48,0,124872,7469
0,32,White,Male,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Single Person,40258,1244311,2021/08/09 11:34:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,263.48,0,124872,7470
1,39,White,Female,Non-Hispanic,Not Disabled,2 or 4 years College,"Unemployed(Long - Term, more than 6 months)",Single Person,40272,1244393,2021/08/09 11:58:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000,14,0,7471
